suburb,state,lga
AARONS PASS,NSW,MID-WESTERN REGIONAL (AREA)
ABBA RIVER,WA,BUSSELTON (CITY)
ABBEY,WA,BUSSELTON (CITY)
ABBEYARD,VIC,ALPINE (SHIRE)
ABBEYWOOD,QLD,SOUTH BURNETT (REGIONAL COUNCIL)
ABBOTSBURY,NSW,FAIRFIELD (CITY)
ABBOTSFORD,NSW,CANADA BAY (AREA)
ABBOTSFORD,QLD,BUNDABERG (REGIONAL COUNCIL)
ABBOTSFORD,VIC,YARRA (CITY)
ABBOTSHAM,TAS,CENTRAL COAST (MUNICIPALITY)
ABELS BAY,TAS,HUON VALLEY (MUNICIPALITY)
ABERCORN,QLD,NORTH BURNETT (REGIONAL COUNCIL)
ABERCROMBIE,NSW,BATHURST REGIONAL (AREA)
ABERCROMBIE RIVER,NSW,BATHURST REGIONAL (AREA)
ABERDARE,NSW,CESSNOCK (CITY)
ABERDEEN,NSW,UPPER HUNTER SHIRE (AREA)
ABERDEEN,TAS,DEVONPORT (CITY)
ABERFELDIE,VIC,MOONEE VALLEY (CITY)
ABERFELDY,VIC,BAW BAW (SHIRE)
ABERFOYLE,NSW,ARMIDALE REGIONAL (AREA)
ABERFOYLE PARK,SA,ONKAPARINGA (CITY)
ABERGLASSLYN,NSW,MAITLAND (CITY)
ABERGOWRIE,QLD,HINCHINBROOK (SHIRE)
ABERMAIN,NSW,CESSNOCK (CITY)
ABERNETHY,NSW,CESSNOCK (CITY)
ABINGDON DOWNS,QLD,ETHERIDGE (SHIRE)
ABINGTON,NSW,URALLA (AREA)
ABINGTON,QLD,BUNDABERG (REGIONAL COUNCIL)
ACACIA CREEK,NSW,TENTERFIELD (AREA)
ACACIA GARDENS,NSW,BLACKTOWN (CITY)
ACACIA HILLS,NT,LITCHFIELD (MUNICIPALITY)
ACACIA HILLS,TAS,KENTISH (MUNICIPALITY)
ACACIA RIDGE,QLD,BRISBANE (CITY)
ACHERON,VIC,MURRINDINDI (SHIRE)
ACLAND,QLD,TOOWOOMBA (REGIONAL COUNCIL)
ACT REMAINDER - BELCONNEN,ACT,UNINCORPORATED
ACT REMAINDER - BOOTH,ACT,UNINCORPORATED
ACT REMAINDER - COREE,ACT,UNINCORPORATED
ACT REMAINDER - COTTER RIVER,ACT,UNINCORPORATED
ACT REMAINDER - GUNGAHLIN,ACT,UNINCORPORATED
ACT REMAINDER - HALL,ACT,UNINCORPORATED
ACT REMAINDER - JERRABOMBERRA,ACT,UNINCORPORATED
ACT REMAINDER - KOWEN,ACT,UNINCORPORATED
ACT REMAINDER - MAJURA,ACT,UNINCORPORATED
ACT REMAINDER - MOLONGLO VALLEY,ACT,UNINCORPORATED
ACT REMAINDER - PADDYS RIVER,ACT,UNINCORPORATED
ACT REMAINDER - RENDEZVOUS CREEK,ACT,UNINCORPORATED
ACT REMAINDER - STROMLO,ACT,UNINCORPORATED
ACT REMAINDER - TUGGERANONG,ACT,UNINCORPORATED
ACT REMAINDER - WESTON CREEK,ACT,UNINCORPORATED
ACTON,ACT,UNINCORPORATED
ACTON,TAS,BURNIE (CITY)
ACTON PARK,TAS,CLARENCE (CITY)
ACTON PARK,WA,BUSSELTON (CITY)
ADA,VIC,BAW BAW (SHIRE)
ADAMINABY,NSW,SNOWY MONARO REGIONAL (AREA)
ADAMS ESTATE,VIC,BASS COAST (SHIRE)
ADAMSTOWN,NSW,NEWCASTLE (CITY)
ADAMSTOWN HEIGHTS,NSW,LAKE MACQUARIE (CITY)
ADAMSVALE,WA,CORRIGIN (SHIRE)
ADARE,QLD,LOCKYER VALLEY (REGIONAL COUNCIL)
ADAVALE,QLD,QUILPIE (SHIRE)
ADDINGTON,VIC,BALLARAT (CITY)
ADELAIDE,SA,ADELAIDE (CITY)
ADELAIDE AIRPORT,SA,WEST TORRENS (CITY)
ADELAIDE LEAD,VIC,CENTRAL GOLDFIELDS (SHIRE)
ADELAIDE PARK,QLD,LIVINGSTONE (SHIRE)
ADELAIDE RIVER,NT,COOMALIE (SHIRE)
ADELONG,NSW,SNOWY VALLEYS (AREA)
ADJUNGBILLY,NSW,GUNDAGAI (AREA)
ADVANCETOWN,QLD,GOLD COAST (CITY)
ADVENTURE BAY,TAS,KINGBOROUGH (MUNICIPALITY)
AEROGLEN,QLD,CAIRNS (REGIONAL COUNCIL)
AFTERLEE,NSW,KYOGLE (AREA)
AGERY,SA,YORKE PENINSULA (DISTRICT COUNCIL)
AGNES,VIC,SOUTH GIPPSLAND (SHIRE)
AGNES BANKS,NSW,HAWKESBURY (CITY)
AGNES WATER,QLD,GLADSTONE (REGIONAL COUNCIL)
AINSLIE,ACT,UNINCORPORATED
AIRDMILLAN,QLD,BURDEKIN (SHIRE)
AIRDS,NSW,CAMPBELLTOWN (CITY)
AIRE VALLEY,VIC,COLAC-OTWAY (SHIRE)
AIREYS INLET,VIC,SURF COAST (SHIRE)
AIRLIE BEACH,QLD,WHITSUNDAY (REGIONAL COUNCIL)
AIRLY,VIC,WELLINGTON (SHIRE)
AIRPORT WEST,VIC,MOONEE VALLEY (CITY)
AIRVILLE,QLD,BURDEKIN (SHIRE)
AITKENVALE,QLD,TOWNSVILLE (CITY)
AJANA,WA,NORTHAMPTON (SHIRE)
AKAROA,TAS,BREAK O'DAY (MUNICIPALITY)
AKOLELE,NSW,EUROBODALLA (AREA)
ALABAMA HILL,QLD,CHARTERS TOWERS (REGIONAL COUNCIL)
ALAWA,NT,DARWIN (CITY)
ALAWOONA,SA,LOXTON WAIKERIE (DISTRICT COUNCIL)
ALBACUTYA,VIC,HINDMARSH (SHIRE)
ALBANVALE,VIC,BRIMBANK (CITY)
ALBANY,WA,ALBANY (CITY)
ALBANY CREEK,QLD,MORETON BAY (REGIONAL COUNCIL)
ALBERT,NSW,LACHLAN (AREA)
ALBERT PARK,SA,CHARLES STURT (CITY)
ALBERT PARK,VIC,PORT PHILLIP (CITY)
ALBERTA,QLD,BANANA (SHIRE)
ALBERTON,QLD,GOLD COAST (CITY)
ALBERTON,SA,PORT ADELAIDE ENFIELD (CITY)
ALBERTON,TAS,DORSET (MUNICIPALITY)
ALBERTON,VIC,WELLINGTON (SHIRE)
ALBERTON WEST,VIC,WELLINGTON (SHIRE)
ALBINIA,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
ALBION,QLD,BRISBANE (CITY)
ALBION,VIC,BRIMBANK (CITY)
ALBION PARK,NSW,SHELLHARBOUR (CITY)
ALBION PARK RAIL,NSW,SHELLHARBOUR (CITY)
